name,project_link,owner,address,area,sell_date,progress,price,scale,latlong,page_number
"
BRG Grand Plaza
",https://batdongsan.com.vn/can-ho-chung-cu-ba-dinh/brg-grand-plaza-pj2554,Tập đoàn BRG,"Phố Láng Hạ, Ba Đình, Hà Nội",15.801 m²,Năm 2018,"
Đang thi công
",35 triệu/m²,"Gồm 2 block,  4 đơn nguyên cao 22 tầng, 3 tầng hầm","21.0153713226318,105.812881469727",p40
"
Feliz En Vista
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/feliz-en-vista-pj2532,Tập đoàn CapitaLand,"Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",20.000 m²,,"
Chưa thi công
",,"gồm 2 block cao 17 tầng, 2 tầng hầm, 3 tầng thương mại","10.7780666351318,106.75643157959",p41
"
Chương Dương Home
",https://batdongsan.com.vn/can-ho-chung-cu-thu-duc/chuong-duong-home-pj2538,Công ty CP Chương Dương,"Đường 12, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",26.340 m²,Quý IV/2016,"
Đang thi công
",12 triệu/m²,Gồm: 5 Tòa tháp cao 13 tầng,"10.8369522094727,106.756462097168",p41
"
N01-T7 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n01-t7-ngoai-giao-doan-pj2522,Tổng công ty Xây dựng Hà Nội,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",,,"
Đang cập nhật
",,45 tầng nổi và 2 tầng hầm,"21.0635757446289,105.795310974121",p41
"
Sarimi Sala
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/sarimi-sala-pj2541,Công ty CP Đầu tư Địa ốc Đại Quang Minh,"Khu đô thị Sala, phường An Lợi Đông, quận 2, Tp.HCM",15.600 m²,,"
Đã hoàn thành
",51.1 triệu/m²,Gồm 12 tầng nổi và 2 tầng hầm,"10.7703475952148,106.724739074707",p41
"
BRG Park Residence
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-xuan/brg-park-residence-pj2542,Tập đoàn BRG,"Lô 4.1 Lê Văn Lương, phường Nhân Chính, Thanh Xuân, Hà Nội",8.000 m²,Quý IV/2018,"
Đang thi công
",,Gồm 2 tòa tháp cao 36 tầng,"21.0052757263184,105.805503845215",p41
"
HQC Tây Ninh
",https://batdongsan.com.vn/can-ho-chung-cu-tay-ninh-tni/hqc-tay-ninh-pj2552,Công ty CP Tư vấn -Thương mại - Dịch vụ Địa ốc Hoàng Quân,"Đường Yết Kiêu, phường 2, TP. Tây Ninh, Tây Ninh",,Quý IV/2016,"
Đang thi công
",9.5 triệu/m²,Gồm 12 khối chung cư,"11.3116989135742,106.09268951416",p40
"
N03-T6 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n03-t6-ngoai-giao-doan-pj2523,Tổng công ty Xây dựng Hà Nội,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",,Quý II/2017,"
Đang thi công
",16 triệu/m²,Gồm 25 tầng nổi và 2 tầng hầm,"21.064977645874,105.797737121582",p41
"
Valeo Đầm Sen
",https://batdongsan.com.vn/can-ho-chung-cu-tan-phu/valeo-dam-sen-pj2498,Công ty TNHH MTV Xây dựng và Kinh doanh Nhà Phú Nhuận,"Đường Trịnh Đình Trọng, quận Tân Phú, Tp.HCM",6.000 m²,Quý II/2017,"
Đang cập nhật
",18.8 triệu/m²,Gồm 3 Block cao 15 tầng,"10.7776250839233,106.636863708496",p42
"
Xuân Mai Sparks Tower
",https://batdongsan.com.vn/can-ho-chung-cu-ha-dong/xuan-mai-sparks-tower-pj2500,Công ty CP Đầu tư và Xây dựng Xuân Mai,"Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội",17.592 m²,Qúy IV 2016,"
Đang thi công
",16.7 triệu/m²,"03 tòa tháp ABC cao 25 tầng, 02 tầng hầm để xe liên thông giữa các tòa nhà, 01 tầng thương mại, tầng 2 – 25 là khu căn hộ","20.9846420288086,105.774719238281",p42
"
Furama Condotel Đà Nẵng
",https://batdongsan.com.vn/can-ho-chung-cu-ngu-hanh-son-ddn/furama-condotel-da-nang-pj2521,Công ty CP SOVICO,"Đường Võ Nguyên Giáp, phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",36.000 m²,Quý I/2018,"
Đang thi công
",29.2 triệu/m²,Gồm 2 Block cao 18 tầng với hơn 1000 căn hộ,"16.0394840240479,108.249687194824",p42
"
B1-B2 Tây Nam Linh Đàm
",https://batdongsan.com.vn/can-ho-chung-cu-hoang-mai/b1-b2-tay-nam-linh-dam-pj2503,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,"Khu đô thị Tây Nam Hồ Linh Đàm, phường Hoàng Liệt, quận Hoàng Mai, Hà Nội",2.550 m²,Quý II/2017,"
Đang thi công
",23.5 triệu/m²,"Tòa nhà gồm 1 tầng hầm, 3 tầng thương mại, từ tầng 4-21 là căn hộ","20.9642238616943,105.823181152344",p42
"
Căn hộ Thạnh Tân
",https://batdongsan.com.vn/can-ho-chung-cu-di-an-bd/can-ho-thanh-tan-pj2525,Công ty TNHH Đầu tư Xây dựng Thạnh Tân,"Đường ĐT 743B, phường Tân Đông Hiệp, Dĩ An, Bình Dương",8.338 m²,,"
Đã hoàn thành
",13 triệu/m²,Gồm 2 Block cao 18 tầng và 2 tầng hầm,"10.9133710861206,106.747650146484",p41
"
T&T Riverview
",https://batdongsan.com.vn/can-ho-chung-cu-hoang-mai/t-t-riverview-pj2508,Công ty CP Tập đoàn T&T,"Số 440 Vĩnh Hưng, phường Vĩnh Hưng, quận Hoàng Mai, Hà Nội",8.849 m²,Quý III/2017,"
Đang thi công
",,"Gồm 23 tầng nổi, 2 tầng hầm","20.9989376068115,105.880195617676",p42
"
Căn hộ Quang Nguyễn
",https://batdongsan.com.vn/can-ho-chung-cu-hai-chau-ddn/can-ho-quang-nguyen-pj2511,Công ty CP Tư vấn - Xây dựng và Đầu tư Quang Nguyễn,"A2.1-5.1 Nguyễn Hữu Thọ, quận Hải Châu, Đà Nẵng",,Tháng 9/2017,"
Đang thi công
",18.2 triệu/m²,"Gồm 18 tầng với 53 căn hộ, 2 căn Penthouse","16.0400810241699,108.210609436035",p42
"
Chung cư 31 Láng Hạ
",https://batdongsan.com.vn/can-ho-chung-cu-ba-dinh/chung-cu-31-lang-ha-pj2506,Tập đoàn Sun Group,"Số 31 Láng Hạ, phường Thành Công, quận Ba Đình, Hà Nội",10.071 m²,,"
Đang cập nhật
",,Gồm 27 tầng và 3 tầng hầm,"21.0203895568848,105.817764282227",p42
"
N03-T7 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n03-t7-ngoai-giao-doan-pj2524,Tổng công ty Xây dựng Hà Nội,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",8.392 m²,,"
Đang thi công
",26.5 triệu/m²,"Gồm 2 tòa cao 21 tầng, 2 tầng hầm","21.0635757446289,105.795372009277",p41
"
Diamond Lotus Lake View
",https://batdongsan.com.vn/can-ho-chung-cu-tan-phu/diamond-lotus-lake-view-pj2499,Công ty CP Đầu tư và Xây dựng Phúc Khang,"Số 96 Lũy Bán Bích, phường Tân Thới Hòa, quận Tân Phú, Tp.HCM",11.460 m²,Quý IV/2018,"
Đang thi công
",24 triệu/m²,"3 tháp, 21 tầng","10.7688016891479,106.632347106934",p42
"
MB Grand Tower
",https://batdongsan.com.vn/can-ho-chung-cu-cau-giay/mb-grand-tower-pj2507,Công ty Cổ phần Địa ốc MB,"Số 63 Lê Văn Lương, phường Trung Hòa, Cầu Giấy, Hà Nội",4.950 m²,,"
Đang thi công
",,Gồm 25 tầng nổi và 4 tầng hầm,"21.0081367492676,105.80793762207",p42
"
Nam Phúc - Le Jardin
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/nam-phuc-le-jardin-pj2501,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Đường 17, phường Tân Phú, quận 7, Tp.HCM",,Tháng 12/2017,"
Đang mở bán
",37 triệu/m²,"Gồm 2 tòa nhà cao 22 tầng, 233 căn hộ","10.7232780456543,106.730018615723",p42
"
Heaven Riverview
",https://batdongsan.com.vn/can-ho-chung-cu-quan-8/heaven-riverview-pj2497,Công ty TNHH Thương mại Xây dựng và Kinh doanh nhà An Phúc,"Khu nhà ở Mỹ Phúc, đường 192, phường 16, quận 8, Tp.HCM",16.940 m²,Quý IV/2017,"
Đang thi công
",16 triệu/m²,"Gồm 2 Block, cao 17 tầng","10.7184743881226,106.623023986816",p43
"
Chung cư Đại Thanh
",https://batdongsan.com.vn/can-ho-chung-cu-thanh-tri/chung-cu-dai-thanh-pj2492,Xí nghiệp Xây dựng Tư nhân Số 1 Lai Châu,"Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",170.000 m²,Quý I năm 2016,"
Đang mở bán
",10 triệu/m²,"Dự án gồm 6 tòa chung cư CT8 (A, B, C) & CT10 (A, B , C) cao 32 tầng, với 2 tầng hầm","20.9575748443604,105.806900024414",p43
"
Vinpearl Condotel Đà Nẵng
",https://batdongsan.com.vn/can-ho-chung-cu-son-tra-ddn/vinpearl-condotel-da-nang-pj2476,Tập đoàn Vingroup,"Đường Ngô Quyền, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",36.000 m²,Năm 2018,"
Đang cập nhật
",50 triệu/m²,Gồm 36 tầng nổi và 3 tầng hầm,"16.0710315704346,108.229881286621",p43
"
Richmond City
",https://batdongsan.com.vn/can-ho-chung-cu-binh-thanh/richmond-city-pj2493,Công ty CP Đầu tư Kinh doanh Địa ốc Hưng Thịnh,"Số 207 Nguyễn Xí, phường 26, quận Bình Thạnh, Tp.HCM",21.277 m²,Quý I/2019,"
Đang thi công
",23.5 triệu/m²,Gồm: 3 Block,"10.81614112854,106.706199645996",p43
"
An Bình City
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/an-binh-city-pj2494,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,"Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",21.631 m²,Quý IV/2017,"
Đang thi công
",25 triệu/m²,"gồm: 08 tòa chung cư cao 35 tầng (A2, A3, A6, A7) và 28 tầng (A1, A4, A5, A8)","21.0495662689209,105.778594970703",p43
"
Hải Đăng Tower
",https://batdongsan.com.vn/can-ho-chung-cu-dong-da/hai-dang-tower-pj2496,Công ty CP Đầu tư Xây dựng Hải Đăng ,"Ngõ 29 đường Láng Hạ, Đống Đa, Hà Nội",3.183 m²,Quý II/2018,"
Đang thi công
",40 triệu/m²,Gồm 3 tầng hầm và 27 tầng nổi,"21.0205879211426,105.818046569824",p43
"
Exim Pearl Tower
",https://batdongsan.com.vn/can-ho-chung-cu-nha-be/exim-pearl-tower-pj2477,Công ty CP Bất động sản Eximland,"Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",3.568 m²,,"
Đang cập nhật
",20 triệu/m²,2 block cao 17 tầng với 2 tầng hầm,"10.6985149383545,106.704444885254",p43
"
Centana Thủ Thiêm
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/centana-thu-thiem-pj2485,Công ty TNHH Xây dựng và Kinh doanh Nhà Điền Phúc Thành,"Giao lộ Nguyễn Thị Định và Mai Chí Thọ, quận 2, Tp.HCM",17.940 m²,Quý III/2019,"
Đang thi công
",28 triệu/m²,"Gồm 2 khối tháp - Block A - Block B, 740 căn hộ","10.7912244796753,106.752891540527",p43
"
Saigon Royal Residence
",https://batdongsan.com.vn/can-ho-chung-cu-quan-4/saigon-royal-residence-pj2489,Novaland Group,"Số 34-35 Bến Vân Đồn, phường 12, quận 4, Tp.HCM",6.669 m²,Quý I/2019,"
Đang thi công
",20 triệu/m²,Gồm: 2 tháp,"10.7674293518066,106.704132080078",p43
"
Rice City Linh Đàm
",https://batdongsan.com.vn/can-ho-chung-cu-hoang-mai/rice-city-linh-dam-pj2473,Công ty CP BIC Việt Nam,"Phường Hoàng Liệt, Hoàng Mai, Hà Nội",22.000 m²,,"
Đang thi công
",14.5 triệu/m²,"Bao gồm 3 khối nhà Bắc, Trung, Nam","20.9638347625732,105.822456359863",p43
"
N04B Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n04b-ngoai-giao-doan-pj2457,Công ty CP Đầu tư Xây dựng BĐS Lanmak,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",6.035 m²,Quý IV/2015,"
Đang mở bán
",24.5 triệu/m²,Gồm 2 tòa T1 và T2 cao 28 tầng,"21.0658798217773,105.801383972168",p44
"
Ecolife Tây Hồ
",https://batdongsan.com.vn/can-ho-chung-cu-tay-ho/ecolife-tay-ho-pj2471,Công ty CP Đầu tư và Thương mại Thủ Đô,"Lô đất O17 - HH1 Khu đô thị mới Tây Hồ Tây, quận Tây Hồ, Hà Nội",8.105 m²,Quý II/2017,"
Đang thi công
",26 triệu/m²,"Công trình gồm 3 tòa nhà cao 28 và 33 tầng, có 02 tầng hầm để xe","21.0511112213135,105.800590515137",p44
"
Central Field Trung Kính
",https://batdongsan.com.vn/can-ho-chung-cu-cau-giay/central-field-trung-kinh-pj2468,Công ty TNHH 19-12 Bắc Hà,"Số 219 phố Trung Kính, phường Yên Hòa, quận Cầu Giấy, Hà Nội",7.106 m²,Quý IV/2017,"
Đang thi công
",32 triệu/m²,"Gồm 3 tòa tháp 29 tầng, trong đó 1 tòa tháp tổ hợp khách sạn - văn phòng và 2 tòa tháp căn hộ","21.0209789276123,105.791061401367",p44
"
HPC Landmark 105
",https://batdongsan.com.vn/can-ho-chung-cu-ha-dong/hpc-landmark-105-pj2470,Công ty CP Đầu tư Hải Phát,"Phường La Khê, Hà Đông, Hà Nội",,Quý I/2018,"
Đang thi công
",19 triệu/m²,Gồm 2 tòa (1 tòa 35 tầng và 1 tòa 50 tầng),"20.9736671447754,105.758712768555",p44
"
Sài Gòn Mê Linh Tower
",https://batdongsan.com.vn/can-ho-chung-cu-quan-1/sai-gon-me-linh-tower-pj2469,Novaland Group,"Phố Hai Bà Trưng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",6.044 m²,Quý IV/2019,"
Đang thi công
",133.56 triệu/m²,gồm 2 tháp cao từ 38 - 50 tầng,"10.7765130996704,106.705589294434",p44
"
I-Home Xa Lộ Hà Nội
",https://batdongsan.com.vn/can-ho-chung-cu-quan-9/i-home-xa-lo-ha-noi-pj2458,Công ty TNHH Ngôi nhà Thân yêu I-Home,"360 Xa Lộ Hà Nội, phường Phước Long A, quận 9, Tp.HCM",18.338 m²,Quý IV/2017,"
Đang thi công
",13.8 triệu/m²,4 block với tổng số 619 căn hộ,"10.8329267501831,106.76522064209",p44
"
Madison 15 Thi Sách
",https://batdongsan.com.vn/can-ho-chung-cu-quan-1/madison-15-thi-sach-pj2460,Novaland Group,"Số 15 Thi Sách, phường Bến Nghé, quận 1, Tp.HCM",2.360 m²,Tháng 11/2018,"
Đang thi công
",,"17 tầng nổi, 3 tầng hầm","10.7783966064453,106.704093933105",p44
"
La Bonita
",https://batdongsan.com.vn/can-ho-chung-cu-binh-thanh/la-bonita-pj2464,Công ty TNHH BĐS Nam Thị ,"Số 6-8 đường D2, phường 15, quận Bình Thạnh, Tp.HCM",1.374 m²,Quý II/2012,"
Đang cập nhật
",38.5 triệu/m²,1 block gồm 2 tầng hầm và 14 tầng nổi,"10.8073167800903,106.715942382813",p44
"
Park View City
",https://batdongsan.com.vn/can-ho-chung-cu-cau-giay/park-view-city-pj2463,Tổng công ty Đầu tư Phát triển Hạ tầng đô thị - UDIC,"Đường Vũ Phạm Hàm, Phường Yên Hòa, Cầu Giấy, Hà Nội",9.065 m²,,"
Đang thi công
",,"CT1 cao 25 tầng, CT2 và CT3 cao 19 tầng, giữa 03 tòa nhà có 02 tầng hầm thông nhau","21.01584815979,105.797607421875",p44
"
VP7 Linh Đàm
",https://batdongsan.com.vn/can-ho-chung-cu-hoang-mai/vp7-linh-dam-pj2467,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên,"Phường Hoàng Liệt, Hoàng Mai, Hà Nội",,Quý I/2017,"
Đang thi công
",13 triệu/m²,Gồm 41 tầng nổi và tầng hầm,"20.9653205871582,105.838165283203",p44
"
N04A Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n04a-ngoai-giao-doan-pj2456,Tổng công ty Xây dựng Hà Nội,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",7.225 m²,Quý IV/2016,"
Đang thi công
",23.2 triệu/m²,Đầu tư xây dựng mới 02 khối tháp chung cư cao 23 tầng nổi và 01 tầng hầm,"21.0661869049072,105.801162719727",p45
"
N03-T1 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n03-t1-ngoai-giao-doan-pj2448,Công ty CP Thi công cơ giới xây lắp,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",1.252 m²,Quý III/2016,"
Đang thi công
",23 triệu/m²,2 tầng hầm và 25 tầng nổi,"21.0657653808594,105.798080444336",p45
"
N03-T3&T4 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n03-t3-t4-ngoai-giao-doan-pj2453,Công ty CP Xây dựng và Kỹ thuật Việt Nam ,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",7.480 m²,Quý II/2017,"
Đang thi công
",22.8 triệu/m²,"Gồm 2 tầng hầm, 25 tầng nổi","21.0644302368164,105.79842376709",p45
"
N03-T5 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n03-t5-ngoai-giao-doan-pj2454,Công ty CP xây dựng số 1 Hà Nội,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,,"
Đang thi công
",21.5 triệu/m²,Gồm 21 tầng + 2 tầnghầm,"21.0641841888428,105.799163818359",p45
"
N03 -T8 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n03-t8-ngoai-giao-doan-pj2455,Công ty CP Xây dựng số 2 - Vinaconex2,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,,"
Đang thi công
",23.5 triệu/m²,Gồm 23 tòa chung cư cao cấp,"21.064998626709,105.800285339355",p45
"
N03-T2 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n03-t2-ngoai-giao-doan-pj2449,Công ty CP Dịch vụ Hàng không Thăng Long ,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,Quý I/2017,"
Đang thi công
",25 triệu/m²,Gồm 31 tầng nổi và 2 tầng hầm,"21.0650177001953,105.798934936523",p45
"
N01-T8 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n01-t8-ngoai-giao-doan-pj2442,Tổng công ty Xây dựng Hà Nội,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",,,"
Đang thi công
",26 triệu/m²,34 tầng + 1 tầng áp mái,"21.0636558532715,105.79613494873",p45
"
N02-T2 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n02-t2-ngoai-giao-doan-pj2445,Công ty TNHH Thương mại - Dịch vụ - Đầu tư Công đoàn Ngân hàng Công thương Việt Nam,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,,"
Đang thi công
",20.5 triệu/m²,Gồm 21 tầng nổi và 2 tầng hầm,"21.066650390625,105.798034667969",p45
"
N02-T1 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n02-t1-ngoai-giao-doan-pj2443,Công ty Cổ phần Đầu tư Bất động sản An Bình,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",1.063 m²,Quý III năm 2015,"
Đã hoàn thành
",25 triệu/m²,Gồm 22 tầng và 2 tầng hầm,"21.0661659240723,105.798118591309",p45
"
N02-T3 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n02-t3-ngoai-giao-doan-pj2446,Công ty CP Đầu tư Bất động sản Quang Minh,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",1.059 m²,Quý III năm 2017,"
Đang thi công
",22.9 triệu/m²,25 tầng nổi + 2 tầng kỹ thuật + 2 tầng hầm,"21.0661106109619,105.798057556152",p45
"
The One Residence - Gamuda Garden
",https://batdongsan.com.vn/can-ho-chung-cu-hoang-mai/the-one-residence-gamuda-garden-pj2429,Công ty TNHH Gamuda Land Việt Nam,"Đường Pháp Vân, phường Yên Sở, Hoàng Mai, Hà Nội",7.517 m²,Quý IV/2016,"
Đang thi công
",17.7 triệu/m²,"Gồm 2 tòa nhà Nam và Bắc, cao 26 tầng, 2 tầng nổi đỗ xe và 24 tầng căn hộ","20.9692039489746,105.876914978027",p46
"
N01-T6 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n01-t6-ngoai-giao-doan-pj2441,Tổng công ty Xây dựng Hà Nội,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",,,"
Đang thi công
",,Gồm 45 tầng nổi và 2 tầng hầm,"21.0637378692627,105.79704284668",p46
"
N01-T3 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n01-t3-ngoai-giao-doan-pj2436,Công ty CP Lắp Máy Điện nước và Xây Dựng,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",3.268 m²,Quý IV/2016,"
Đang thi công
",21 triệu/m²,"Gồm căn hộ, văn phòng, trung tâm thương mại","21.0630855560303,105.794822692871",p46
"
N01-T4 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n01-t4-ngoai-giao-doan-pj2437,Công ty CP Đầu tư Bất động sản Phú Mỹ,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",,,"
Đang thi công
",28 triệu/m²,"Gồm trung tâm thương mại, văn phòng cho thuê và khối căn hộ cao cấp","21.0630359649658,105.795417785645",p46
"
N01-T5 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n01-t5-ngoai-giao-doan-pj2440,Công ty CP Đầu tư Lạc Hồng,"Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",1.828 m²,Quý I/2018,"
Đang thi công
",27 triệu/m²,Gồm 35 tầng nổi và 3 tầng hầm,"21.0630359649658,105.795974731445",p46
"
Chung cư 622 Minh Khai
",https://batdongsan.com.vn/can-ho-chung-cu-hai-ba-trung/chung-cu-622-minh-khai-pj2428,Công ty CP đầu tư xây dựng và phát triển nhà số 5  ,"Số 622 đường Minh Khai, phường Minh Khai, quận Hai Bà Trưng, Hà Nội",,Quý IV/2017,"
Đang thi công
",13.5 triệu/m²,Chung cư cao tầng,"20.998010635376,105.868362426758",p46
"
The Two Residence - Gamuda Garden
",https://batdongsan.com.vn/can-ho-chung-cu-hoang-mai/the-two-residence-gamuda-garden-pj2430,Công ty TNHH Gamuda Land Việt Nam,"Đường Pháp Vân, phường Yên Sở, Hoàng Mai, Hà Nội",,Quý IV/2018,"
Đang thi công
",18 triệu/m²,"Gồm 2 tòa hình chữ L. Một tòa cao 27 tầng, tòa còn lại cao 30 tầng","20.9700584411621,105.877777099609",p46
"
N01-T1 Ngoại Giao Đoàn
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/n01-t1-ngoai-giao-doan-pj2433,Công ty CP Đầu tư Lạc Hồng,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",34.590 m²,Năm 2017,"
Đang thi công
",26 triệu/m²,"Gồm 27 tầng nổi, 3 tầng hầm","21.0657501220703,105.798210144043",p46
"
Opal Tower
",https://batdongsan.com.vn/can-ho-chung-cu-thu-duc/opal-tower-pj2414,Tập đoàn Đất Xanh,"Đường Phạm Văn Đồng, phường Hiệp Bình Chánh, quận Thủ Đức, Tp.HCM",,Quý IV/2016,"
Đang thi công
",18 triệu/m²,,"10.8331546783447,106.727409362793",p47
"
Scenic Valley 2
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/scenic-valley-2-pj2415,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Đường Nguyễn Văn Linh, phường Tân Phú, quận 7, Tp.HCM",13.882 m²,,"
Đang thi công
",30 triệu/m²,3 tòa nhà cao 17 tầng,"10.7313690185547,106.718101501465",p47
"
CT2 Xuân Phương
",https://batdongsan.com.vn/can-ho-chung-cu-nam-tu-liem/ct2-xuan-phuong-pj2424,Công ty CP Sông Đà 7,"Xã Xuân Phương, quận Nam Từ Liêm, Hà Nội",12.024 m²,Quý IV/2013,"
Đang cập nhật
",17 triệu/m²,"21 tầng, 480 căn hộ","21.0315055847168,105.755378723145",p47
"
Park 12 Park Hill - Times City
",https://batdongsan.com.vn/can-ho-chung-cu-hai-ba-trung/park-12-park-hill-times-city-pj2418,Tập đoàn Vingroup,"458 Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",,Quý III/2017,"
Đang thi công
",43 triệu/m²,Tòa nhà gồm 34 tầng,"20.9965782165527,105.865196228027",p47
"
CT4 Vimeco II
",https://batdongsan.com.vn/can-ho-chung-cu-cau-giay/ct4-vimeco-ii-pj2427,Công ty CP Vimeco,"Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội",5.668 m²,Quý II/2018,"
Đang thi công
",27.2 triệu/m²,"Tòa nhà cao 39 tầng nổi, 4 tầng hầm, 2 tầng kỹ thuật và tầng mái","21.0089626312256,105.793128967285",p46
"
River City
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/river-city-pj2422,Công ty CP Đầu tư & Phát triển Bất động sản An Gia,"Số 422 đường Đào Trí, phường Phú Thuận, quận 7, Tp.HCM",112.585 m²,Quý I/2018,"
Đang thi công
",25 triệu/m²,Gồm 12 block,"10.7371301651001,106.740112304688",p47
"
C3 PARCSpring
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/c3-parcspring-pj2412,Tập đoàn CapitaLand,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",2.066 m²,Quý II/2018,"
Đang thi công
",28 triệu/m²,Gồm 1 tòa tháp cao 18 tầng và 1 tầng hầm,"10.7887439727783,106.770736694336",p47
"
Lakeside Residences - Goldmark City
",https://batdongsan.com.vn/can-ho-chung-cu-bac-tu-liem/lakeside-residences-goldmark-city-pj2421,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"136 Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",,Quý I năm 2017,"
Đang thi công
",29 triệu/m²,Gồm 9 tòa chung cư cao cấp 40 tầng,"21.040225982666,105.767524719238",p47
"
Tulip Tower
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/tulip-tower-pj2423,Công ty CP Tập đoàn Hưng Thuận,"15 Hoàng Quốc Việt, phường Phú Thuận, quận 7, Tp.HCM",1.843 m²,Quý IV/2016,"
Đang thi công
",22 triệu/m²,Gồm 1 Block cao 21 tầng,"10.7143907546997,106.737495422363",p47
